entryID,userID,count,lastVoted
1,1,23,19/07/2020
1,4,22,19/07/2020
1,3,40,19/07/2020
1,6,39,19/07/2020
1,5,82,19/07/2020
1,2,82,19/07/2020
2,4,92,19/07/2020
2,2,7,19/07/2020
3,5,58,19/07/2020
3,4,88,19/07/2020
3,2,80,19/07/2020
4,5,92,19/07/2020
4,4,89,19/07/2020
4,6,65,19/07/2020
5,3,82,19/07/2020
5,1,53,19/07/2020
5,5,82,19/07/2020
5,4,65,19/07/2020
5,2,7,19/07/2020
5,6,79,19/07/2020
6,5,66,19/07/2020
6,4,80,19/07/2020
6,6,87,19/07/2020
6,2,64,19/07/2020
6,3,24,19/07/2020
6,1,24,19/07/2020
7,3,10,19/07/2020
7,1,63,19/07/2020
7,5,100,19/07/2020
7,2,96,19/07/2020
7,4,39,19/07/2020
8,2,92,19/07/2020
8,1,69,19/07/2020
8,6,63,19/07/2020
8,5,13,19/07/2020
9,5,43,19/07/2020
10,6,37,19/07/2020
10,1,73,19/07/2020
10,2,4,19/07/2020
11,2,43,19/07/2020
11,6,74,19/07/2020
12,3,76,19/07/2020
12,1,87,19/07/2020
12,2,83,19/07/2020
12,6,78,19/07/2020
12,5,72,19/07/2020
13,1,29,19/07/2020
13,6,26,19/07/2020
13,4,77,19/07/2020
13,2,27,19/07/2020
14,6,18,19/07/2020
14,3,85,19/07/2020
14,4,92,19/07/2020
14,5,58,19/07/2020
14,1,85,19/07/2020
14,2,48,19/07/2020
15,6,49,19/07/2020
15,5,9,19/07/2020
15,3,74,19/07/2020
15,4,24,19/07/2020
15,2,13,19/07/2020
15,1,84,19/07/2020
16,3,74,19/07/2020
16,2,87,19/07/2020
16,5,49,19/07/2020
16,1,91,19/07/2020
16,6,43,19/07/2020
17,2,76,19/07/2020
17,5,46,19/07/2020
17,4,52,19/07/2020
17,6,8,19/07/2020
17,3,91,19/07/2020
18,6,2,19/07/2020
19,6,98,19/07/2020
19,4,79,19/07/2020
19,3,99,19/07/2020
19,5,52,19/07/2020
19,2,61,19/07/2020
20,2,84,19/07/2020
20,5,58,19/07/2020
20,6,37,19/07/2020
